zone_id,x_coord,y_coord,observed_event_rate,mean_predicted_risk,mean_crime_count,false_positive_rate,false_negative_rate,communication_availability,patrol_latency,socioeconomic_vulnerability,risk_error
91,0.6364,0.6364,1.0,1.0,7.6923,0.0,0.4103,0.8057,0.6623,0.502,-0.0
64,0.4545,0.3636,1.0,1.0,8.0,0.0,0.3846,0.6975,0.5444,0.5321,-0.0
67,0.4545,0.6364,1.0,1.0,7.3846,0.0,0.3846,0.6792,0.6907,0.9674,-0.0
90,0.6364,0.5455,1.0,1.0,7.4872,0.0,0.5385,0.7762,0.715,0.3341,-0.0
17,0.0909,0.4545,1.0,1.0,7.4872,0.0,0.4615,0.7274,0.7258,0.6684,-0.0
42,0.2727,0.5455,1.0,1.0,7.4103,0.0,0.4359,0.6196,0.6576,0.7244,-0.0
43,0.2727,0.6364,1.0,1.0,7.6923,0.0,0.4872,0.6413,0.6238,0.4841,-0.0
29,0.1818,0.4545,1.0,1.0,7.2564,0.0,0.5641,0.6876,0.3759,0.6217,-0.0
18,0.0909,0.5455,1.0,1.0,7.4872,0.0,0.5641,0.8409,0.6944,0.4187,-0.0
87,0.6364,0.2727,1.0,1.0,7.7179,0.0,0.5385,0.5611,0.4197,0.4267,-0.0
100,0.7273,0.3636,1.0,1.0,7.7179,0.0,0.5897,0.7932,0.6063,0.3931,-0.0
31,0.1818,0.6364,1.0,1.0,7.4872,0.0,0.3333,0.6692,0.6708,0.5816,-0.0
88,0.6364,0.3636,1.0,1.0,8.1282,0.0,0.3846,0.7127,0.5249,0.0869,-0.0
16,0.0909,0.3636,1.0,0.9999,7.9487,0.0,0.3077,0.6763,0.5562,0.6861,-0.0001
2,0.0,0.1818,1.0,0.9999,7.8718,0.0,0.4615,0.7171,0.6464,0.5341,-0.0001
