zone_id,x_coord,y_coord,observed_event_rate,mean_predicted_risk,mean_crime_count,false_positive_rate,false_negative_rate,communication_availability,patrol_latency,socioeconomic_vulnerability,risk_error
0,0.0,0.0,0.2821,0.5104,0.3846,0.0,0.2821,0.6846,0.5177,0.2896,0.2283
1,0.0,0.0909,1.0,0.9994,7.0,0.0,0.8974,0.6487,0.6598,0.4054,-0.0006
2,0.0,0.1818,1.0,0.9999,7.8718,0.0,0.4615,0.7171,0.6464,0.5341,-0.0001
3,0.0,0.2727,1.0,0.9999,7.6923,0.0,0.4872,0.7291,0.6616,0.4638,-0.0001
4,0.0,0.3636,1.0,0.9998,7.5128,0.0,0.5128,0.6886,0.6741,0.7038,-0.0002
5,0.0,0.4545,1.0,0.9997,6.6923,0.0,0.5128,0.6472,0.5346,0.9854,-0.0003
6,0.0,0.5455,1.0,0.9999,7.3077,0.0,0.6154,0.684,0.4816,0.6212,-0.0001
7,0.0,0.6364,1.0,0.9998,7.2308,0.0,0.7949,0.6214,0.7218,0.7726,-0.0002
8,0.0,0.7273,0.2821,0.4462,0.3077,0.0,0.2821,0.6698,0.7486,0.7707,0.1641
9,0.0,0.8182,0.2308,0.1996,0.2308,0.0,0.2308,0.58,0.6183,0.596,-0.0311
10,0.0,0.9091,0.1538,0.2032,0.1538,0.0,0.1538,0.4895,0.7541,0.7549,0.0493
11,0.0,1.0,0.1795,0.2193,0.2051,0.0,0.1795,0.6189,0.6199,0.8544,0.0399
12,0.0909,0.0,0.2564,0.4337,0.3077,0.0,0.2564,0.6768,0.48,0.2622,0.1773
13,0.0909,0.0909,1.0,0.9999,7.3077,0.0,0.6923,0.9487,0.6124,0.6949,-0.0001
14,0.0909,0.1818,1.0,0.9999,8.2051,0.0,0.4103,0.7278,0.5572,0.5264,-0.0001
15,0.0909,0.2727,1.0,0.9999,7.6923,0.0,0.4103,0.5358,0.5689,0.7784,-0.0001
16,0.0909,0.3636,1.0,0.9999,7.9487,0.0,0.3077,0.6763,0.5562,0.6861,-0.0001
17,0.0909,0.4545,1.0,1.0,7.4872,0.0,0.4615,0.7274,0.7258,0.6684,-0.0
18,0.0909,0.5455,1.0,1.0,7.4872,0.0,0.5641,0.8409,0.6944,0.4187,-0.0
19,0.0909,0.6364,1.0,0.9998,7.4872,0.0,0.641,0.6825,0.6454,0.612,-0.0002
20,0.0909,0.7273,0.3077,0.5326,0.3077,0.0,0.3077,0.6455,0.686,0.4744,0.2249
21,0.0909,0.8182,0.1538,0.2587,0.1538,0.0,0.1538,0.7088,0.6964,0.946,0.1049
22,0.0909,0.9091,0.1795,0.23,0.1795,0.0,0.1795,0.8336,0.5838,0.8184,0.0505
23,0.0909,1.0,0.0769,0.1799,0.0769,0.0,0.0769,0.5631,0.5604,0.6692,0.103
24,0.1818,0.0,0.5128,0.5469,0.7436,0.0,0.5128,0.922,0.7435,0.1925,0.0341
25,0.1818,0.0909,1.0,0.9999,7.5897,0.0,0.6923,0.658,0.5663,0.6327,-0.0001
26,0.1818,0.1818,1.0,0.9999,7.4103,0.0,0.4359,0.7164,0.5714,0.7071,-0.0001
27,0.1818,0.2727,1.0,0.9999,6.7436,0.0,0.6923,0.6159,0.6876,0.609,-0.0001
28,0.1818,0.3636,1.0,0.9999,7.4103,0.0,0.5385,0.7335,0.4904,0.4648,-0.0001
29,0.1818,0.4545,1.0,1.0,7.2564,0.0,0.5641,0.6876,0.3759,0.6217,-0.0
30,0.1818,0.5455,0.9744,0.9999,7.2051,0.0,0.4872,0.8589,0.5393,0.4031,0.0256
31,0.1818,0.6364,1.0,1.0,7.4872,0.0,0.3333,0.6692,0.6708,0.5816,-0.0
32,0.1818,0.7273,1.0,0.9997,7.3333,0.0,0.8718,0.5094,0.7023,1.0,-0.0003
33,0.1818,0.8182,0.5641,0.6834,0.8205,0.0,0.5641,0.5632,0.6669,0.702,0.1193
34,0.1818,0.9091,0.1795,0.3081,0.1795,0.0,0.1795,0.4935,0.782,1.0,0.1286
35,0.1818,1.0,0.2308,0.2952,0.2308,0.0,0.2308,0.628,0.7272,0.9637,0.0644
36,0.2727,0.0,0.1282,0.3724,0.1795,0.0,0.1282,0.6841,0.4857,0.375,0.2442
37,0.2727,0.0909,1.0,0.9996,7.1282,0.0,0.8718,0.7509,0.3904,0.5381,-0.0004
38,0.2727,0.1818,1.0,0.9999,7.7179,0.0,0.5641,0.7925,0.5206,0.1343,-0.0001
39,0.2727,0.2727,1.0,0.9999,7.1538,0.0,0.5897,0.7485,0.4999,0.6338,-0.0001
40,0.2727,0.3636,1.0,0.9999,7.0513,0.0,0.5385,0.594,0.4319,0.4856,-0.0001
41,0.2727,0.4545,1.0,0.9999,6.8974,0.0,0.5641,0.7154,0.7419,0.7542,-0.0001
42,0.2727,0.5455,1.0,1.0,7.4103,0.0,0.4359,0.6196,0.6576,0.7244,-0.0
43,0.2727,0.6364,1.0,1.0,7.6923,0.0,0.4872,0.6413,0.6238,0.4841,-0.0
